year,kind,utc,epoch,local
2020,EST->EDT,2020-03-08T07:00:00+00:00,1583650800,02:00 EST -> 03:00 EDT
2020,EDT->EST,2020-11-01T06:00:00+00:00,1604210400,02:00 EDT -> 01:00 EST
2021,EST->EDT,2021-03-14T07:00:00+00:00,1615705200,02:00 EST -> 03:00 EDT
2021,EDT->EST,2021-11-07T06:00:00+00:00,1636264800,02:00 EDT -> 01:00 EST
2022,EST->EDT,2022-03-13T07:00:00+00:00,1647154800,02:00 EST -> 03:00 EDT
2022,EDT->EST,2022-11-06T06:00:00+00:00,1667714400,02:00 EDT -> 01:00 EST
2023,EST->EDT,2023-03-12T07:00:00+00:00,1678604400,02:00 EST -> 03:00 EDT
2023,EDT->EST,2023-11-05T06:00:00+00:00,1699164000,02:00 EDT -> 01:00 EST
2024,EST->EDT,2024-03-10T07:00:00+00:00,1710054000,02:00 EST -> 03:00 EDT
2024,EDT->EST,2024-11-03T06:00:00+00:00,1730613600,02:00 EDT -> 01:00 EST
2025,EST->EDT,2025-03-09T07:00:00+00:00,1741503600,02:00 EST -> 03:00 EDT
2025,EDT->EST,2025-11-02T06:00:00+00:00,1762063200,02:00 EDT -> 01:00 EST
2026,EST->EDT,2026-03-08T07:00:00+00:00,1772953200,02:00 EST -> 03:00 EDT
2026,EDT->EST,2026-11-01T06:00:00+00:00,1793512800,02:00 EDT -> 01:00 EST
2027,EST->EDT,2027-03-14T07:00:00+00:00,1805007600,02:00 EST -> 03:00 EDT
2027,EDT->EST,2027-11-07T06:00:00+00:00,1825567200,02:00 EDT -> 01:00 EST
2028,EST->EDT,2028-03-12T07:00:00+00:00,1836457200,02:00 EST -> 03:00 EDT
2028,EDT->EST,2028-11-05T06:00:00+00:00,1857016800,02:00 EDT -> 01:00 EST
2029,EST->EDT,2029-03-11T07:00:00+00:00,1867906800,02:00 EST -> 03:00 EDT
2029,EDT->EST,2029-11-04T06:00:00+00:00,1888466400,02:00 EDT -> 01:00 EST
2030,EST->EDT,2030-03-10T07:00:00+00:00,1899356400,02:00 EST -> 03:00 EDT
2030,EDT->EST,2030-11-03T06:00:00+00:00,1919916000,02:00 EDT -> 01:00 EST
2031,EST->EDT,2031-03-09T07:00:00+00:00,1930806000,02:00 EST -> 03:00 EDT
2031,EDT->EST,2031-11-02T06:00:00+00:00,1951365600,02:00 EDT -> 01:00 EST
2032,EST->EDT,2032-03-14T07:00:00+00:00,1962860400,02:00 EST -> 03:00 EDT
2032,EDT->EST,2032-11-07T06:00:00+00:00,1983420000,02:00 EDT -> 01:00 EST
2033,EST->EDT,2033-03-13T07:00:00+00:00,1994310000,02:00 EST -> 03:00 EDT
2033,EDT->EST,2033-11-06T06:00:00+00:00,2014869600,02:00 EDT -> 01:00 EST
2034,EST->EDT,2034-03-12T07:00:00+00:00,2025759600,02:00 EST -> 03:00 EDT
2034,EDT->EST,2034-11-05T06:00:00+00:00,2046319200,02:00 EDT -> 01:00 EST
2035,EST->EDT,2035-03-11T07:00:00+00:00,2057209200,02:00 EST -> 03:00 EDT
2035,EDT->EST,2035-11-04T06:00:00+00:00,2077768800,02:00 EDT -> 01:00 EST
